parentid,childid,body,category
4208,7,同時に発表された2007年度の企業物価指数は2.3％上昇となり、速報時に公表された2.2％上昇から上方修正された,00001000000
4225,10,東証1部騰落数は値上がり1339銘柄に対し、値下がりは323銘柄,00001000000
4232,0,米労働省が発表した4月の消費者物価指数（CPI）統計は、総合指数が前月比0.2％上昇と予想を下回った,00001000000
4241,5,14日の米国株式は、4月の消費者物価指数（CPI）を受けてインフレ懸念が後退したことなどから上昇した,00001000000
4265,15,購入頻度の高い食品や身の回り品の値上がりで、家計の実質所得も減少していると見られる,00001000000
4289,8,物価動向では「食料品やガソリン価格の値上がりによって、消費者マインドは悪化し家計にとっての負担になっている,00001000000
4300,10,「物価見通し」については、日ごろ購入するものについて、今後1年間の物価上昇率について聞いている,00001000000
4303,6,東証1部騰落数は値上がり656銘柄に対し、値下がりは944銘柄,00001000000
4314,0,16日発表されたロイター／ミシガン大学による5月の米消費者調査速報値は、消費者信頼感指数が59.5と28年ぶり低水準になる一方、短期インフレ期待がスタグフレーション下の1980年代初頭以来の高水準となった,00001000000
4315,5,5月の米ミシガン大消費者調査速報値は、消費者信頼感指数が59.5と28年ぶり低水準になる一方、短期インフレ期待がスタグフレーション下の1980年代初頭以来の高水準となった,00001000000
4340,6,投資が25.4％増、小売売上高が27.8％増となった1988年には消費者物価指数（CPI）は18.8％上昇し、投資と小売売上高がいずれも30.4％増加した1994年にはCPIは24.1％上昇したと説明した,10001000000
4366,11,トレーダーは、ドル反発の理由として、前週16日に弱い米ミシガン大消費者信頼感指数を受けドルが大きく売られたことから、ポジション調整の動きが出たことを挙げた,00001000000
4393,4,東証1部騰落数は値上がり681銘柄に対し、値下がりは923銘柄,00001000000
4445,2,4月の消費者物価指数（CPI）は前年比8.5％上昇し12年ぶり水準に迫った,00001000000
4469,6,さらに、金融環境は緩和的であり「短期金利は、潜在成長率や物価上昇率との関係でみて、引き続き極めて低い水準で推移している」と指摘した,00001000100
4473,8,商品および燃料価格の上昇を反映し、消費者物価指数（CPI）のインフレ率はやや上昇するものの、インフレ基調は引き続き抑制されたものになると指摘,00001000000
4509,4,東証1部騰落数は値上がり673銘柄に対し、値下がりは925銘柄,00001000000
4549,5,東証1部騰落数は値上がり198銘柄に対し、値下がりは1467銘柄,00001000000
4581,5,東証1部騰落数は値上がり1222銘柄に対し、値下がりは418銘柄,00001000000
4598,0,米大手民間調査機関のコンファレンスボード（CB）が27日発表した5月の消費者信頼感指数は57.2と、16年ぶりの水準に低下した,00001000000
4599,1,3月の主要20都市圏の価格動向を示す指数は、前月比2.2％低下、前年比では14.4％低下した,00001000000
4599,3,主要10都市圏の価格動向を示す指数は前月比2.4％低下、前年比では15.3％低下した,00001000000
4610,1,また、「足元の物価上昇率に目が行き過ぎると、必要な金融政策の対応が遅れ、結果として経済活動の大きな変動を招く危険がある」との認識を示した,00001000000
4610,7,「近年発生したバブルの多くは、逆説的ではあるが、物価安定が達成され、あるいはデフレの危険が意識される中で、低金利が持続した後に生じている」と指摘し「こうした状況の下で、足元の物価上昇率に目が行き過ぎると、必要な金融政策の対応が遅れ、結果として経済活動の大きな変動を招く危険がある」とした,00001000000
4618,10,ルービン氏は「輸送コストがコンテナの内容物のコストを押し上げており、消費者が小売店で商品を購入する際、膨らんだ分のコストが消費者物価指数に転嫁される,00001000000
4621,6,東証1部騰落数は値上がり226銘柄に対し、値下がりは1419銘柄,00001000000
4625,5,ウォールストリートジャーナルが主催するコンピューター業界のカンファレンスでゲイツ会長は、タッチ機能などキーボードとマウス以外による操作方法について、コンピューターの新たな主流になるための機が熟してきたと述べた,00001000000
4632,11,30日に発表される5月のユーロ圏の消費者物価指数（CPI）速報値は前年比3.5％上昇し、2.0％未満とするECBの目標の上限を大きく上回ると予想されている,00001000000
4638,18,また、景況感について加藤氏は「雇用所得情勢の改善が滞り、昨年に比べて株価が低迷する中で、エネルギーや食料品の値上がりが続いており、内閣府や日銀調査の消費者センチメントは昨秋から大幅に悪化している」と指摘,00101000000
4655,4,東証1部騰落数は値上がり1497銘柄に対し、値下がりは173銘柄,00001000000
4684,5,国内物価動向については、4月の石油製品その他特殊要因除く消費者物価指数（コアコアCPI）が前年比プラス0.6％となったことを受けて「デフレ脱却に向けて前進している」との認識をあらためて示した,00001000000
4690,2,海外勢の中には世界的インフレを意識した動きが継続しているものの、国内勢は日本での物価上昇率が1％にも満たない中で、インフレの現実味を感じるまでにいたっていない参加者が多く、海外勢の株買い／債券売りを冷ややかにみつつ円債市場では買いが出やすくなっている,10001000000
4694,7,東証1部騰落数は値上がり1280銘柄に対し、値下がりは334銘柄,00001000000
4741,6,東証1部騰落数は値上がり1018銘柄に対し、値下がりは586銘柄,00001000000
4770,7,東証1部騰落数は値上がり229銘柄に対し、値下がりは1422銘柄,00001000000
4800,6,長い間デフレが続き、経済が回復して2％成長が続いても、物価上昇率が1％にも満たない状況の下では、景気にのみ配慮した金融政策でよかったと言える,00001000000
4812,9,東証1部騰落数は値上がり1370銘柄に対し、値下がりは278銘柄,00001000000
4823,5,消費者物価指数（CPI）総合については08年は前年比プラス0.9％を予想しているものの、09年には同プラス0.4％に鈍化する見通しとなっている,00001000000
4825,1,また、09年には消費者物価指数（CPI）上昇率とGDP伸び率が共に鈍化すると予想した,00001000000
4842,4,この日発表された5月の消費者物価指数（CPI）上昇率は前年比9.6％と9年ぶりの高水準を記録した,00001000000
4907,4,全銘柄が値下がりした,00001000000
4907,10,こうしたなか、米原油先物は11ドル近く上昇し、1日の値上がりとしてはドル建てで過去最高を記録した,00001000000
4907,14,ボーイング(BA.N)は5.4％の値下がり,00001000000
4908,4,全銘柄が値下がりした,00001000000
4908,10,こうしたなか、米原油先物は11ドル近く上昇し、1日の値上がりとしてはドル建てで過去最高を記録した,00001000000
4908,14,ボーイング(BA.N)は5.4％の値下がり,00001000000
4968,9,家計所得も生活必需品の値上がりなどを背景に、実質ベースでは減少しているとみられ、日銀はこうした所得の減少が設備投資や個人消費など支出面に影響を与えないかどうか、警戒を強めている,00001010000
4973,0,複数の関係筋によると、5月の中国の消費者物価指数（CPI）は前年同月比7.7％上昇となった,00001000000
4997,3,4月の中国の消費者物価指数（CPI）伸び率は前年比8.5％と、12年ぶりの高水準を若干下回る水準,00001000000
5055,3,5月の消費者物価指数（CPI）上昇率は前年比7.7％だった,00001000000
5065,10,「物価見通し」については、日ごろ購入するものについて、今後1年間の物価上昇率について聞いている,00001000000
5069,4,消費者物価指数（除く生鮮食品）についても「経済全体の需給が概ねバランスした状態で推移するもとで、石油製品や食料品の価格上昇などから、プラスを続けていく」との見通しを変えていない,00001000000
5134,2,10時30分現在、東証1部の騰落数は値上がりが1047銘柄、値下がりが529銘柄,00001000000
5203,16,また川上から川下に価格転嫁がすすんで行く状況では企業物価指数も重要との意見も出された,00001000000
5247,0,世界銀行は19日発表した四半期経済報告の中で、2008年の中国の消費者物価指数（CPI）上昇率見通しを、2月時点予測の4.6％から7.0％に大幅に引き上げた,00001000000
5264,1,原油の値下がりで消費支出への明るい見方が広がり、輸送株や小売関連株が上昇した,00001000001
5285,1,総裁は当地での講演で、国際エネルギー食品価格の上昇について、値上がりが急激で広範囲にわたっており、これまでのどの商品ブームとも異なっていると指摘,00001000000
5289,1,＜中国＞＊インフレ―5月の消費者物価指数は前年比7.7％で、12年ぶり高水準をつけた4月の8.5％から鈍化した,10001000000
5303,1,総裁は当地での会合を前に記者団に対し「エネルギー価格の上昇が消費者物価指数（CPI）をある程度圧迫することは確かだ,00001000000
5305,5,指標関連では週末の消費者物価指数が注目,00001000000
5313,3,指標関連では週末の消費者物価指数が注目,00001000000
5315,5,原油価格は今月、1日の取引で11ドル近く急伸した日などもあり、バレル当たり140ドルに迫っているが、同相はこれについて需給以外の要因による上昇だと指摘し、「従って単純に供給拡大に焦点を合わせるだけで、現在の価格動向が落ち着く可能性は薄い」と述べた,00001000001
5321,5,指標関連では週末の消費者物価指数が注目,00001000000
5367,0,米大手民間調査機関のコンファレンスボード（CB）が発表した6月の消費者信頼感指数は50.4に低下し、1992年2月につけた47.3以来の低水準となった,00001000000
5371,3,主要10都市圏の価格動向を示す指数は前月比1.6％低下、前年比では16.3％低下し、過去最大の低下率となった,00001000000
5464,5,一方で、値上がりの大きい食料（酒類を除く）およびエネルギーを除く総合指数は前年比0.1％低下と、引き続き下落が続いている,00001000000
5464,11,発表を受けて、野村証券金融経済研究所経済調査部長の木内登英氏は「想定以上のペースで物価上昇率が高まっていることを示唆した」と指摘した,00001000000
5464,16,また、内閣府は27日、5月の石油製品その他特殊要因除く消費者物価指数（コアコアCPI）が前年同月比プラス0.8％となったとの試算を発表した,00001000000
5499,7,週間ではダウが4.2％安、S&Pは3％安といずれも6月6日週以来の大幅な値下がりとなった,00101000000
5525,4,バーン氏は「日本の消費者物価指数は総合ベースでもコアベースでもプラスの領域に移行しているが、その上昇ペースは他の先進諸国の例に比べて比較的緩やかで、マクロ経済の安定性を脅かしたり、日銀による予防的な引き締めにつながったりすることは考えにくい」と指摘した,00001000000
5528,4,バーン氏は「日本の消費者物価指数は総合ベースでもコアベースでもプラスの領域に移行しているが、その上昇ペースは他の先進諸国の例に比べて比較的緩やかで、マクロ経済の安定性を脅かしたり、日銀による予防的な引き締めにつながったりすることは考えにくい」と指摘した,00001000000
5580,2,また、値下がりしていた金融株に値ごろ感からの買いが入り、原油高をめぐる懸念の影響を相殺した,00001000000
5586,6,一時は年初来安値を更新したが、午後になって値下がりしていた米金融株に値ごろ感からの買いが入ったことでしっかりで引けた,00001000000
5618,5,5月の消費者物価指数（CPI）上昇率が25.2％となるなど8カ月連続でインフレ率は2ケタ台で高止まり,00001000000
5691,0,日銀が4日発表した6月の「生活意識に関するアンケート調査」（第34回）によると、現在の物価が1年前と比べ「かなり上がった」、「少し上がった」との回答が92.1％（3月調査85.9％）に増加し、ガソリンや食料品などの値上がりが消費者の心理に影響を与えていることがあらためて浮き彫りになった,00001000000
5691,4,「1年前に比べ現在の物価は何％程度変化したと思うか」との質問に対しては、平均値がプラス10.2％（3月調査7.6％）となり、アンケート調査時点でプラス1％程度だった消費者物価指数（CPI、除く生鮮食品）と消費者実感が大きくかい離していることがあらためて裏付けられた,00001000000
5696,7,日銀とは基本的な視点を共有しているとし、政府が2008年度の経済財政運営の基本的態度で表明した「民間需要主導の持続的成長を図り、これと両立する安定的な物価上昇率の定着」を実現するとの考えを前提に「連絡を密にして意思疎通を図っている」と語った,00001000000
5801,3,今年に入り、原油価格は大半のアナリスト予想を上回る50％の上昇を見せており、アナリストらは繰り返し価格見通しを上方修正している,00001000001
5805,5,中国政府筋が8日、ロイターに語ったところによると、6月の同国の消費者物価指数（CPI）上昇率は前年同月比7.1％と、5月の7.7％、4月の8.5％からそれぞれ鈍化した,00001000000
5841,0,日銀が10日に発表した6月の企業物価指数（CGPI）速報によると、国内企業物価指数（2005年＝100.0）は前年比5.6％上昇となり、5月の同4.8％上昇（確報）から伸びが加速した,00001000000
5845,0,日銀が10日に発表した6月の企業物価指数（CGPI）速報によると、国内企業物価指数（2005年＝100.0）は前年比5.6％上昇となり、5月の同4.8％上昇（確報）から伸びが加速した,00001000000
5845,6,前年比で上昇した品目は全体の57.3％にのぼり、現行基準で最高だった5月の57.7％からわずかに低下したものの、引き続き半数以上が値上がりしている状況が続いている,00001000000
5847,0,日銀が10日に発表した6月の企業物価指数（CGPI）速報によると、国内企業物価指数（2005年＝100.0）は前年比5.6％上昇となり、5月の同4.8％上昇（確報）から伸びが加速した,00001000000
5849,0,日銀が10日に発表した6月の企業物価指数（CGPI）速報によると、国内企業物価指数（2005年＝100.0）は前年比5.6％上昇となり、5月の同4.8％上昇（確報）から伸びが加速した,00001000000
5849,10,前年比で上昇した品目は全体の57.3％にのぼり、現行基準で最高だった5月の57.7％からわずかに低下したものの、引き続き半数以上が値上がりしている状況が続いている,00001000000
5863,13,調査では、今年の消費者物価指数は4.2％上昇すると予想されており、前回調査の3.9％を上回った,00001000000
5959,11,投資家は、15日発表の卸売物価指数（PPI）と16日発表の消費者物価指数（CPI）に、インフレ圧力の高まりに関する手がかりを求めている,10001000000
6006,8,石油製品や食料品の値上がりで、足元のコアCPI前年比はプラス1％台半ばで推移している,00001000000
6039,7,消費者物価指数（除く生鮮食品）についても「経済全体の需給が概ねバランスした状態で推移するもとで、石油製品や食料品の価格上昇などから、当面現状程度ないしそれを幾分上回るプラス幅で推移する」との見通し示した,00001000000
6041,3,消費者物価指数（除く生鮮食品）についても「経済全体の需給が概ねバランスした状態で推移するもとで、石油製品や食料品の価格上昇などから、当面現状程度ないしそれを幾分上回るプラス幅で推移する」とし、上昇率が高まるとの見方を示した,00001000000
6062,15,6月の消費者物価指数（CPI）はガソリン価格高騰を背景に前月比1.1％上昇し、ハリケーン「カトリーナ」後の2005年9月以来の大幅な伸びを記録した,00001000000
6067,9,景気について企業からは「原材料の値上がり、特に石油製品の値上がりがいつ止まるかにかかっている」（紙パルプ）、「原油、素材などの高騰による物価上昇から、消費の冷え込みが懸念される」（電機）、「消費はしばらく伸びると思われるが、設備投資は先行き不透明から減少しそう」（輸送用機器）、「消費を中心に厳しい見通し」（不動産）など懸念する声が目立つ,00001000001
6071,2,一方、6月の消費者物価指数（CPI）伸び率は前年比7.1％で、5月の同7.7％から鈍化したが、生産者物価指数（PPI）伸び率は前月の8.2％から加速、1990年代半ば以来の高水準となる8.8％だった,00001000000
6083,7,6月の消費者物価指数（CPI）伸び率は前年比7.1％で前月の7.7％から鈍化したが、生産者物価指数（PPI）伸び率は前月の8.2％から加速、1990年代半ば以来の高水準となる8.8％だった,00001000000
6113,1,住宅価格の値下がりに歯止めがかからず、同機関が発行し世界の投資家が保有している債券にはデフォルト（債務不履行）のリスクさえ語られ始めた,00001000000
6128,3,このほか、週末発表の消費者物価指数（CPI）が予想以上に高い水準を示すようだと、企業業績や個人消費への警戒感が強まりそうだ,00001010000
6137,3,このほか、週末発表の消費者物価指数（CPI）が予想以上に高い水準を示すようだと、企業業績や個人消費への警戒感が強まりそうだ,00001010000
6183,6,一方、資源高の影響で、消費者物価指数（総合）は当初見通しの前年比プラス0.3％から同プラス1.7％に大幅上方修正した,00001000000
6210,12,また第2四半期の消費者物価指数（CPI）は、最も範囲の広いオールグループで前期比1.5％上昇した,00001000000
6233,1,原油価格が値下がりするなか、政府系住宅金融機関（GSE）支援法案を米議会が承認するとの期待が広がり、金融株が買われた,00001000001
6265,7,米連邦準備理事会（FRB）の統計によると、国内の消費者信用残高は5月末時点で2兆5700億ドルで、10年前より68％増加している,00001000000
6288,0,大田弘子経済財政担当相は25日、閣議後の会見で、けさ発表された消費者物価指数（CPI）について、原油高などの価格転嫁が確実に進んでいるとし、物価上昇が消費に与える影響を懸念していると語った,00001000000
6288,3,また、内閣府が物価の基調判断で重視する石油製品その他特殊要因除く消費者物価指数（コアコアCPI）も、6月は前年同月比プラス0.9％となり上昇幅を拡大させた,00001000000
6294,2,日本でも消費者物価指数（CPI）の上昇基調が鮮明になり消費への影響が警戒されている,00001000000
6358,11,＜ガソリン食パンカップ麺の消費減少目立つ＞値上がりが著しいエネルギー、食品への支出はマイナスが続いている,00001000000
6385,3,スタンダードアンドプアーズ（S&P）／ケースシラーが発表した5月の米住宅価格指数で下落率の鈍化が示されたことや、コンファレンスボード（CB）が発表した7月の消費者信頼感指数が約半年ぶりに改善されたことなども、相場を支援した,00001000000
6431,10,また地価が高いときに土地を仕入れており、建築資材も値上がりして、コストも上昇している,00001000000
6446,3,欧州中央銀行（ECB）は物価安定の基準を消費者物価指数の前年比上昇率が中期的に2％に近く、かつそれを下回る水準と定義している,00001000000
6609,0,中国国家発展改革委員会のアナリスト、徐連仲氏は、6日付の中国証券報に寄稿し、今年の同国の消費者物価指数（CPI）上昇率が前年比6─7％に低下する可能性があるとの見方を示した,00001000000
6635,0,6日の米商品先物市場では、原油が3日続落となるなど、主要商品が値下がりした,00001000001
6667,5,＜インフレ＞欧州連合基準の消費者物価指数（HICP）の前年比伸び率は、昨年秋以降、物価安定に沿った水準をかなり上回る状態が続いており、2008年6月に4％、7月に4.1％の伸びとなった,10001000000
6667,6,こうした懸念すべきインフレ率は主として、エネルギー食品価格の世界的レベルでの急速かつ急激な値上がりによる直接的間接的影響に起因している,00001000000
6689,19,「顧客との会話から諸物価の値上がり、特に灯油の値上がりに対して強い警戒感を持っていることが感じられる,00001000000
6749,7,ただ、ある政府研究員は国家統計局が発表した声明で、市場の競争が激しいため、PPIが消費者物価指数（CPI）に容易に波及することはない、との見方を示した,00001000000
6753,5,中国国務院発展研究センターの研究員Zhang Liqun氏は、生産者レベルでの物価圧力が消費者物価指数（CPI）を押し上げることはないとの見方を示した,00001000000
6753,12,一方、CICCセキュリティーズのエコノミスト、XING ZHIQIANG氏は、石油電力価格の上昇が7月のPPIを0.5─1％ポイント押し上げたとの見方を示した上で、7月の消費者物価指数（CPI）の上昇率は6月のレベルからさらに鈍化すると予想しているが、潜在的なインフレ圧力は強まっているとの見方を示した,00001000000
6789,0,日銀が12日に発表した7月の企業物価指数（CGPI）速報によると、国内企業物価指数（2005年＝100.0）は前年比7.1％上昇となり、6月の同5.7％上昇（改訂）から伸びが加速した,00001000000
6792,0,日銀が12日に発表した7月の企業物価指数（CGPI）速報によると、国内企業物価指数（2005年＝100.0）は前年比7.1％上昇となり、6月の同5.7％上昇（改訂）から伸びが加速した,00001000000
6794,0,中国国家統計局が12日発表した7月の中国の消費者物価指数（CPI）は前年同月比6.3％上昇となった,00001000000
6842,4,7月の消費者物価指数（CPI）上昇率は前年比6.3％で、6月の7.1％から低下した,00001000000
6857,2,インフレ報告では、消費者物価指数（CPI）伸び率は今年5％を若干下回る水準に加速した後は、食品や燃料価格上昇の影響が後退し、経済が停滞状態に入るに伴い大幅に鈍化するとの見方を示した,00001000000
6872,2,インフレ報告では、消費者物価指数（CPI）伸び率について、今年5％を若干下回る水準に加速した後は、食品や燃料価格上昇の影響が後退し、経済が停滞状態に入るに伴い大幅に鈍化するとの見方を示した,00001000000
6876,4,スペイン統計局が13日発表した7月の消費者物価指数（CPI）上昇率は前年比5.3％と、現行統計を開始した93年以降で最高となった,00001000000
7088,8,インフレについては、主にクレジット危機の影響で、今後1年間にかなり緩和するとみられており、消費者物価指数（CPI）上昇率は第3四半期には2.1％の水準で底打ちする見通し,10001000000
7092,9,消費者物価指数（CPI）上昇率については、08年が前年比3.7％と、前月調査の3.5％から上昇,00001000000
7165,0,中国国務院発展研究センターの巴曙松副所長は、同国の消費者物価指数（CPI）上昇率が最近鈍化していることについて、原材料から製品へ波及する強い価格圧力はまだ続いているため、長くは続かない可能性があるとの見方を示した,00001000000
7334,10,消費縮小の主因は、ガソリンや食料品の急激な値上がりだ,00001000000
7335,6,景気が後退局面入りしたとの見方が強まる一方、身近な食料品やガソリンの値上がりが家計を直撃している,00001000000
7335,12,「海外旅行や車で遠出をすると出費がかさむし、野菜も値上がりしているので、家計の足しになる菜園をやる人が増えている」と同社の淡野一郎広報宣伝課長は説明する,00001000000
7335,18,ロイターが26日にまとめた個人投資家8月調査で、食料品やガソリンの値上がりへの対応を聞いたところ「エアコンをなるべく使わない、あるいは設定温度を上げている」、「休日は近場で過ごし、支出を抑えている」、「車の代わりに、自転車や電車を使う」、「外食を減らして、自炊を増やしている」、「金融商品への新規投資を手控えている」などの回答が上位を占めた,00001000000
7376,10,失業率は前月と変わらずの5.7％が大勢見通しだが「消費者信頼感指数などの雇用判断の悪化から、5.8％程度へ悪化してもおかしくない」（都銀）とする声も出ている,01001000000
7381,6,これは複数の消費者信頼感指数に表れている」と指摘した,00001000000
7410,4,騰落銘柄数は値下がりが791で値上がりが134,00001000000
7419,1,杉本次官は当初、政府自民党が慎重姿勢を取っていた定額減税が総合経済対策に盛り込まれた背景について、29日に発表された消費者物価指数（CPI）が2％を超えるなど「物価高が進展し、それに対してどういう施策を講じるかという議論がされたと思う」と述べた,00001000000
7458,9,その理由として、住宅投資について価格動向からみて下げ止まっていないこと、金融市場と資産価格、実体経済の負の相乗作用収束の展望が見えないこと、原材料価格高騰は足元少し下落気味ながら先行きはどうなるかわからないこと、をあげた,00001000000
7464,6,また物価の先行きについて白川総裁は名古屋大での講演後の質疑応答で、消費者物価指数（CPI）は、しばらくは2％台半ばの上昇が続くが、国際商品市況の低下により来年には下がっていき、物価安定圏に入っていくとの見通しを示した,00001000000
7464,9,その理由として、住宅投資について価格動向からみて下げ止まっていないこと、金融市場と資産価格、実体経済の負の相乗作用収束の展望が見えないこと、原材料価格高騰は足元少し下落気味ながら先行きはどうなるかわからないこと、を挙げた,00001000000
7482,8,需要減により専門家は価格見通しを下方修正している,00001000000
7496,7,8月の消費者物価指数（CPI）は、前年比の伸び率が前月の3.3％から3.1％に鈍化した,00001000000
7520,1,景気停滞の下で需給ギャップがマイナス方向に拡大していけば、物価の下押し圧力となり、エネルギー食品を除く消費者物価指数が再びゼロ近辺に低下するリスクもあると分析,00001000000
7526,14,スタッフ予想では、08年の欧州連合（EU）基準の消費者物価指数（HICP）を3.4─3.6％とし、中間値を前回6月時点の3.4％から3.5％に上方修正した,00001000000
7675,0,日銀が10日に発表した8月の企業物価指数（CGPI）速報によると、国内企業物価指数（2005年＝100.0）は前年比7.2％上昇となり、7月の同7.3％上昇（確報）からわずかに伸びが鈍化したものの、引き続き高水準を維持した,00001000000
7679,0,中国国家統計局の発表によると、8月の中国の消費者物価指数（CPI）は前年同月比4.9％上昇した,00001000000
7681,0,日銀が10日に発表した8月の企業物価指数（CGPI）速報によると、国内企業物価指数（2005年＝100.0）は前年比7.2％上昇となり、7月の同7.3％上昇（確報）からわずかに伸びが鈍化したものの、引き続き高水準となった,00001000000
7683,0,8月の中国の消費者物価指数（CPI）は前年同月比4.9％上昇で、1年2カ月ぶりの低水準となった,00001000000
7683,3,●CPIとPPIは予想通り＜チャイナエコノミックモニターのチーフエコノミスト、GENE MA氏＞CPI（消費者物価指数）、PPI（生産者物価指数）ともにわれわれの予想通りに推移している,00001000000
7754,3,8月の消費者物価指数（CPI）上昇率は前年比4.9％で、7月の6.3％から低下した,00001000000
7765,14,銀行株や海運株など値下がりのきつかったセクターには買い戻しが入った一方、欧州経済への懸念やユーロ安を背景に、欧州売上比率が比較的高いとみられる銘柄が軟調だった,00101000000
7843,11,「物価見通し」については、日ごろ購入するものについて、今後1年間の物価上昇率について聞いている,00001000000
7851,1,政府日銀はリーマンブラザーズが手掛けていたデリバティブ取引の価格動向や、リスクプレミアムの拡大を通じた金融環境タイト化の可能性、世界経済への悪影響を通じて日本経済の回復シナリオが崩れないかどうかなどを注意深く点検していく方針だ,00001000000
7852,0,英国立統計局が16日発表した8月の消費者物価指数（CPI）は前月比0.6％上昇、前年比で4.7％上昇した,00001000000
7866,4,消費者物価指数（CPI）の数字が落ち着いていることを踏まえると、（声明の）インフレに関する文言は予想以上に強かった,10001000000
7998,15,モルガンスタンレー(MS.N)は20.7％、ゴールドマンサックス(GS.N)は20.2％、それぞれ値上がりした,00001000000
8097,11,原油商品（コモディティ）価格の値下がりやドルの持ち直しは圧力緩和につながっているが、先行きの商品価格動向を予測するのは困難とし「インフレに対する上向きリスクも同様に依然大きな懸念だ」と語った,10001000000
8271,1,金融安定化法案復活への期待が広がるなか、主要株価指数は軒並み4％を超える値上がりとなった,00001000000
8274,1,金融安定化法案復活への期待が広がるなか、主要株価指数は軒並み4％を超える値上がりとなった,00001000000
8409,1,市場では、金融安定化法が成立すれば株価社債ドルが大幅に値上がりするとの見方が多かった,00001000000
8426,7,「一部投資家や海外ファンドがユーロ建て資産を圧縮」（外銀の顧客業務担当者）しているほか、世界的な株安が続き「（保有資産の値下がりが）苦しいので、レートに関係なくとにかく投げ売ってリパトリエーション（資金の本国還流）に動く流れが続いている,00101000000
8483,0,米連邦準備理事会（FRB）が7日に発表した8月の消費者信用残高は、信用市場ひっ迫や融資基準の厳格化を背景に、1998年1月以来の減少となった,00001000000
8483,8,クレジット危機が深刻化する中、融資基準の厳格化により自動車販売は特に大きな打撃を受けており、9月の消費者信用残高はさらに減少する見通し,00001000000
8487,3,論評記事は「異例の事態がない限り、消費者物価指数（CPI）など9月の経済指標発表後、いつでも利下げの可能性がある」と指摘した,00001000000
8515,10,日経平均採用銘柄で値上がりしたものはゼロ,00001000000
8515,11,東京電力(9501.T)が唯一、前日比変わらずで、これ以外はすべて値下がりしている,00001000000
8604,15,日経平均構成銘柄は、すべてが値下がりした,00001000000
8614,8,そのほか、保有株式なども大きく値下がりしたという,00001000000
8618,24,個別株でも、前引け段階では日経平均の構成銘柄がすべて値下がりする全面安だったが、後場にはコマツ(6301.T)や三菱商事(8058.T)など切り返すものがでてきた,00001000000
8619,7,09年の消費者物価指数（CPI）上昇率は4.5％と、08年平均の6.5％から減速すると予想した,00001000000
8719,0,英国立統計局が発表した9月の消費者物価指数（CPI）は前年比5.2％上昇し、16年ぶりの水準となった,00001000000
8785,2,欧州株も大幅に値下がりした,00001000000
8793,8,アナリスト調査では、9月の消費者物価指数（CPI）の上昇率の予測中央値は前年同月比4.7％と、5カ月連続で低下する見通し,00001000000
8868,6,消費者信頼感指数の過去最低値は、1980年5月の51.7,00001000000
8870,9,午後に入り大きく値上がりする場面もみられたが、引けにかけて値を消した,00001000000
8870,16,10月の米ミシガン大消費者信頼感指数（速報値）は前月の70.3から57.5に大幅悪化,00001000000
8889,7,物価面では、消費者物価（除く生鮮食品）の前年比は、エネルギーや食料品の価格動向などを反映し、当面現状程度の上昇率で推移した後、徐々に低下していくと予想されるとの見通しを示した,00001000000
8899,1,鋼材価格の値上げが浸透する一方、スクラップや海上輸送運賃（フレート）、原油価格など原材料価格の値下がりが寄与する,00001000001
8925,2,原油高を受けて石油株も値上がりした,00001000000
8925,10,その他の金融株ではロイヤルバンクオブスコットランド（RBS）(RBS.L)が23.2％、バークレイズ(BARC.L)は7.1％高、HSBC(HSBA.L)は5.4％、それぞれ値上がりした,00001000000
8930,2,このところ値下がりしていた銘柄に安値拾いの買いが入り、エネルギー株や公益事業株などが上げを主導した,00001000000
9050,14,1次産品の値上がりの恩恵を受けてきた新興国には大きなダメージでMSCI新興国株価指数は3年半ぶり安値を付けた,00001000000
9127,8,今週はGDP以外にも重要な経済指標の発表が目白押しで、新築住宅販売、消費者信頼感指数、S&P／ケースシラー住宅価格指数、耐久財受注、個人所得個人消費支出、などに関心が集まっている,10001000000
9136,4,さらに、中国の消費者物価指数（CPI）は9月に前年比4.6％上昇と、2月に付けたピークの8.7％から上昇率が鈍化しているものの、人民銀行は引き続き消費者物価の動向を注視していくと述べた,00001000000
9203,2,消費者信頼感指数の低下、不動産開発に関する指数の低下、マネーサプライM2伸び率の鈍化が先行指数の低下につながった,00001000000
9225,2,主要10都市圏の価格動向を示す指数は前月比1.1％低下、前年比では17.7％低下した,00001000000
9226,0,米大手民間調査機関のコンファレンスボード（CB）が発表した10月の消費者信頼感指数は38.0と、1967年の統計開始以来最低水準となった,00001000000
9229,3,主要10都市圏の価格動向を示す指数は前月比1.1％低下、前年比では17.7％低下した,00001000000
9279,4,金融株では、スタンダードチャータード（スタンチャート）銀行(STAN.L)、ロイズTSB(LLOY.L)、ロイヤルバンクオブスコットランド（RBS）(RBS.L)、HBOSHBOS.L、HSBC(HSBA.L)、バークレイズ(BARC.L)が値上がり,00001000000
9334,8,バークレイズ(BARC.L)、ロイヤルバンクオブスコットランド（RBS）(RBS.L)、HSBC(HSBA.L)、HBOSHBOS.L、ロイズTSB(LLOY.L)、スタンダードチャータード（スタンチャート）銀行(STAN.L)が値上がりした,00001000000
9342,7,とくに主食の値上がりが激しく、9月にはパンの価格が15％、コメの価格が42％も上昇している,00001000000
